"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.800848300E-2,-2.587837696E0,8.549555779E0,4.432105541E0
2.036202500E-2,-2.657827854E0,8.529216766E0,4.387838364E0
2.271556600E-2,-2.770888567E0,8.547162056E0,4.338187218E0
2.506910800E-2,-2.875574589E0,8.593822479E0,4.322035789E0
2.742265000E-2,-2.971287489E0,8.645866394E0,4.358526230E0
2.977619100E-2,-2.972483873E0,8.699107170E0,4.396811485E0
3.212973300E-2,-2.988037348E0,8.737391472E0,4.439284325E0
3.448327500E-2,-2.950948477E0,8.737990379E0,4.516452789E0
3.683681600E-2,-2.919243574E0,8.734400749E0,4.607978344E0
3.919035800E-2,-2.886342287E0,8.672785759E0,4.647459984E0
4.154390000E-2,-2.847458839E0,8.619544983E0,4.629513741E0
4.389744100E-2,-2.813959360E0,8.591429710E0,4.615755081E0
4.625103500E-2,-2.788834810E0,8.572287560E0,4.548755646E0
4.860457700E-2,-2.754737139E0,8.543573380E0,4.515854359E0
5.095811800E-2,-2.716451883E0,8.510073662E0,4.493122578E0
5.331166000E-2,-2.691327333E0,8.452646255E0,4.460221291E0
5.566520200E-2,-2.705085993E0,8.352746010E0,4.479962349E0
5.801874300E-2,-2.723032236E0,8.290532112E0,4.484747887E0
6.037228500E-2,-2.694916487E0,8.280961037E0,4.480560303E0
6.272582700E-2,-2.684746981E0,8.300103188E0,4.437489510E0
6.507936800E-2,-2.627319336E0,8.352746010E0,4.384847641E0
6.743291000E-2,-2.593221426E0,8.362317085E0,4.323232174E0
6.978645200E-2,-2.545963287E0,8.362915039E0,4.323830605E0
7.213999300E-2,-2.531606436E0,8.329415321E0,4.319643021E0
7.449353500E-2,-2.540579557E0,8.295916557E0,4.334000111E0
7.684707700E-2,-2.569293261E0,8.286344528E0,4.352544308E0
7.920061800E-2,-2.565105915E0,8.300702095E0,4.352544308E0
8.155421200E-2,-2.607578516E0,8.333602905E0,4.337589264E0
8.390775400E-2,-2.660220623E0,8.352147102E0,4.345963955E0
8.626129600E-2,-2.673979282E0,8.366504669E0,4.326821327E0
8.861483700E-2,-2.703291416E0,8.380263329E0,4.350151539E0
9.096837900E-2,-2.732005358E0,8.361120224E0,4.402793884E0
9.332192100E-2,-2.761317253E0,8.346763611E0,4.445266247E0
9.567546200E-2,-2.766103029E0,8.313861847E0,4.474578381E0
9.802900400E-2,-2.746960402E0,8.318648338E0,4.474578381E0
1.003825460E-1,-2.755933523E0,8.313861847E0,4.455435753E0
1.027360870E-1,-2.760719061E0,8.318648338E0,4.450650215E0
1.050896290E-1,-2.742174864E0,8.328219414E0,4.441078663E0
1.074431710E-1,-2.737389088E0,8.333004951E0,4.445864677E0
1.097967120E-1,-2.741576433E0,8.337790489E0,4.421936035E0
1.121502540E-1,-2.746362209E0,8.327621460E0,4.407579422E0
1.145038480E-1,-2.745764017E0,8.303692818E0,4.398007870E0
1.168573890E-1,-2.745165825E0,8.289336205E0,4.359723091E0
1.192109310E-1,-2.730808735E0,8.303692818E0,4.354937077E0
1.215644730E-1,-2.721237659E0,8.303692818E0,4.355535507E0
1.239180140E-1,-2.735594511E0,8.303692818E0,4.354937077E0
1.262715560E-1,-2.735594511E0,8.332406998E0,4.345366001E0
1.286250980E-1,-2.755335331E0,8.341978073E0,4.368695736E0
1.309786390E-1,-2.760719061E0,8.370692253E0,4.387838364E0
1.333321810E-1,-2.775076151E0,8.375477791E0,4.411766529E0
1.356857230E-1,-2.779861689E0,8.361120224E0,4.426123619E0
1.380392640E-1,-2.775076151E0,8.365905762E0,4.421338081E0
1.403928060E-1,-2.784647465E0,8.337192535E0,4.450051785E0
1.427463480E-1,-2.803191662E0,8.341380119E0,4.425525665E0
1.450998890E-1,-2.803191662E0,8.327022552E0,4.426123619E0
1.474534830E-1,-2.831905603E0,8.341380119E0,4.435096741E0
1.498070250E-1,-2.869592667E0,8.327022552E0,4.439284325E0
1.521605660E-1,-2.888735056E0,8.345566750E0,4.424329281E0
1.545141080E-1,-2.907877684E0,8.350353241E0,4.424329281E0
1.568676500E-1,-2.903092146E0,8.379066467E0,4.404588223E0
1.592211910E-1,-2.903690338E0,8.388637543E0,4.433301926E0
1.615747330E-1,-2.894119024E0,8.383852005E0,4.424329281E0
1.639282750E-1,-2.894119024E0,8.369495392E0,4.443471432E0
1.662818160E-1,-2.903690338E0,8.379066467E0,4.443471432E0
1.686353580E-1,-2.884547710E0,8.369495392E0,4.424329281E0
1.709889000E-1,-2.864806890E0,8.345566750E0,4.415356159E0
1.733424410E-1,-2.836092949E0,8.331808090E0,4.411168575E0
1.756959830E-1,-2.826521635E0,8.298309326E0,4.401597023E0
1.780495250E-1,-2.812762976E0,8.274978638E0,4.440480709E0
1.804031180E-1,-2.788834810E0,8.260622025E0,4.450650215E0
1.827566600E-1,-2.774477959E0,8.260622025E0,4.455435753E0
1.851102020E-1,-2.802593470E0,8.260622025E0,4.440480709E0
1.874637430E-1,-2.788236618E0,8.231907845E0,4.436293125E0
1.898172850E-1,-2.802593470E0,8.255836487E0,4.416552544E0
1.921708270E-1,-2.797209740E0,8.240880966E0,4.398007870E0
1.945243680E-1,-2.773879766E0,8.227122307E0,4.417150497E0
1.968779100E-1,-2.778665304E0,8.227122307E0,4.417150497E0
1.992314520E-1,-2.787638426E0,8.203194618E0,4.402793884E0
2.015849930E-1,-2.763111830E0,8.193622589E0,4.384249210E0
2.039385350E-1,-2.744567633E0,8.198408127E0,4.393820763E0
2.062920770E-1,-2.730210543E0,8.165507317E0,4.394418716E0
2.086456180E-1,-2.720639229E0,8.170292854E0,4.389633179E0
2.109991600E-1,-2.702095032E0,8.160721779E0,4.418945312E0
2.133527540E-1,-2.682952404E0,8.161319733E0,4.404588223E0
2.157062430E-1,-2.678765059E0,8.190033913E0,4.442873478E0
2.180598370E-1,-2.674577475E0,8.180462837E0,4.457828522E0
2.204133790E-1,-2.669791937E0,8.194819450E0,4.467400074E0
2.227669210E-1,-2.665604353E0,8.214560509E0,4.481158733E0
2.251204620E-1,-2.627917528E0,8.209774017E0,4.496113777E0
2.274740040E-1,-2.632703066E0,8.233702660E0,4.486542225E0
2.298275460E-1,-2.651845694E0,8.243273735E0,4.490729809E0
2.321810870E-1,-2.670988321E0,8.261817932E0,4.481158733E0
2.345346290E-1,-2.661417007E0,8.271389961E0,4.471587181E0
2.368881710E-1,-2.679961443E0,8.285746574E0,4.447061062E0
2.392417120E-1,-2.732005358E0,8.294719696E0,4.422534466E0
2.415952540E-1,-2.727817774E0,8.304290771E0,4.446462631E0
2.439487960E-1,-2.746960402E0,8.328219414E0,4.465006828E0
2.463023370E-1,-2.757129908E0,8.352147102E0,4.484149456E0
2.486558790E-1,-2.757129908E0,8.371290207E0,4.478765965E0
2.510094730E-1,-2.766103029E0,8.361120224E0,4.454837322E0
2.533630140E-1,-2.799602509E0,8.361120224E0,4.449453831E0
2.557165560E-1,-2.833101988E0,8.394021988E0,4.448855400E0
2.580700980E-1,-2.856431961E0,8.374878883E0,4.444069862E0
2.604236390E-1,-2.874976397E0,8.369495392E0,4.443471432E0
2.627771810E-1,-2.894717216E0,8.393424034E0,4.457828522E0
2.651307230E-1,-2.918047190E0,8.412566185E0,4.447659016E0
2.674842640E-1,-2.946761131E0,8.426324844E0,4.451846600E0
2.698378060E-1,-2.951546669E0,8.431110382E0,4.456632137E0
2.721913480E-1,-2.952144861E0,8.435895920E0,4.470989227E0
2.745448890E-1,-2.952144861E0,8.426324844E0,4.475774765E0
2.768984310E-1,-2.937189817E0,8.393424034E0,4.466801643E0
