"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.277134800E-2,8.857285231E-2,-5.665608495E-2,-4.520269856E-2
1.512494100E-2,8.857285231E-2,-5.665608495E-2,-4.520269856E-2
1.747848300E-2,8.857285231E-2,-5.665608495E-2,-4.520269856E-2
1.983202500E-2,3.023693897E-2,-1.333174109E-1,-9.009997360E-3
2.218556600E-2,2.657185495E-2,-1.417165697E-1,-9.009997360E-3
2.453910800E-2,2.290677279E-2,-1.513374150E-1,-9.009997360E-3
2.689265000E-2,2.183778957E-2,-1.598892659E-1,-1.145338640E-2
2.924619100E-2,1.572931744E-2,-1.658450365E-1,-1.267508045E-2
3.159973300E-2,1.068982668E-2,-1.682884246E-1,-1.282779220E-2
3.395327500E-2,3.359660041E-3,-1.623326540E-1,-1.542389300E-2
3.630681600E-2,-5.497625098E-3,-1.539335102E-1,-1.435491070E-2
3.866035800E-2,-1.175880991E-2,-1.383569092E-1,-1.450762246E-2
4.101390000E-2,-2.061609551E-2,-1.217113137E-1,-1.466033421E-2
4.336744100E-2,-2.947338112E-2,-1.061347127E-1,-1.236965694E-2
4.572103500E-2,-3.939964995E-2,-8.933641016E-2,-1.130067464E-2
4.807457700E-2,-4.581354558E-2,-7.375980914E-2,-9.009997360E-3
5.042811800E-2,-5.207473040E-2,-6.291726977E-2,-6.719320081E-3
5.278166000E-2,-5.726693198E-2,-4.978405312E-2,-5.650337320E-3
5.513520200E-2,-6.093201414E-2,-4.260659590E-2,-1.068982668E-2
5.748874300E-2,-6.093201414E-2,-3.298575059E-2,-1.068982668E-2
5.984228500E-2,-6.215370819E-2,-2.458660305E-2,-1.313321572E-2
6.219582700E-2,-6.108472496E-2,-1.618745178E-2,-1.191152167E-2
6.454936800E-2,-6.230641901E-2,-1.267508045E-2,-1.206423342E-2
6.690291000E-2,-6.474980712E-2,-9.009997360E-3,-1.450762246E-2
6.925645200E-2,-6.597150117E-2,-6.719320081E-3,-1.572931744E-2
7.160999300E-2,-6.474980712E-2,-4.275931045E-3,-1.817270555E-2
7.396353500E-2,-6.597150117E-2,-3.206948051E-3,-2.183778957E-2
7.631707700E-2,-6.597150117E-2,4.581354442E-4,-2.550287358E-2
7.867061800E-2,-6.719319522E-2,2.748812549E-3,-2.809897438E-2
8.102421200E-2,-6.581879407E-2,5.192201585E-3,-2.932066843E-2
8.337775400E-2,-6.337540597E-2,7.635590620E-3,-3.405473381E-2
8.573129600E-2,-6.337540597E-2,6.413896102E-3,-3.405473381E-2
8.808483700E-2,-6.093201414E-2,6.413896102E-3,-3.405473381E-2
9.043837900E-2,-5.833591148E-2,7.635590620E-3,-3.405473381E-2
9.279192100E-2,-5.711421743E-2,1.236965694E-2,-3.527642787E-2
9.514546200E-2,-5.589252338E-2,1.359135192E-2,-3.649812192E-2
9.749900400E-2,-5.589252338E-2,1.603474095E-2,-3.527642787E-2
9.985254600E-2,-5.360184610E-2,1.847812906E-2,-3.283303976E-2
1.022060870E-1,-5.238015205E-2,2.092151903E-2,-2.916795574E-2
1.045596290E-1,-5.360184610E-2,2.321219631E-2,-2.916795574E-2
1.069131710E-1,-5.115845799E-2,2.321219631E-2,-2.916795574E-2
1.092667120E-1,-5.238015205E-2,2.565558441E-2,-2.794626169E-2
1.116202540E-1,-5.375456065E-2,2.443389036E-2,-2.428117767E-2
1.139738480E-1,-5.497625470E-2,2.687728032E-2,-2.428117767E-2
1.163273890E-1,-5.497625470E-2,2.932066843E-2,-2.428117767E-2
1.186809310E-1,-5.375456065E-2,2.809897438E-2,-2.305948362E-2
1.210344730E-1,-5.497625470E-2,2.321219631E-2,-2.305948362E-2
1.233880140E-1,-5.619794875E-2,2.092151903E-2,-2.305948362E-2
1.257415560E-1,-5.497625470E-2,2.092151903E-2,-2.183778957E-2
1.280950980E-1,-5.238015205E-2,1.725643501E-2,-2.305948362E-2
1.304486390E-1,-5.115845799E-2,1.496575773E-2,-2.290677279E-2
1.328021810E-1,-5.238015205E-2,1.496575773E-2,-2.168507688E-2
1.351557230E-1,-5.375456065E-2,1.496575773E-2,-2.061609551E-2
1.375092640E-1,-5.497625470E-2,1.496575773E-2,-2.061609551E-2
1.398628060E-1,-5.497625470E-2,1.496575773E-2,-2.183778957E-2
1.422163480E-1,-5.619794875E-2,1.374406368E-2,-2.061609551E-2
1.445698890E-1,-5.619794875E-2,1.496575773E-2,-2.183778957E-2
1.469234830E-1,-5.741964281E-2,1.374406368E-2,-2.183778957E-2
1.492770250E-1,-5.741964281E-2,1.374406368E-2,-2.305948362E-2
1.516305660E-1,-5.864133686E-2,1.481304597E-2,-2.183778957E-2
1.539841080E-1,-5.864133686E-2,1.007897966E-2,-2.183778957E-2
1.563376500E-1,-5.864133686E-2,8.857285604E-3,-2.183778957E-2
1.586911910E-1,-5.864133686E-2,8.857285604E-3,-2.183778957E-2
1.610447330E-1,-5.741964281E-2,1.130067464E-2,-2.183778957E-2
1.633982750E-1,-5.497625470E-2,1.007897966E-2,-1.939439960E-2
1.657518160E-1,-5.360184610E-2,8.857285604E-3,-2.046338283E-2
1.681053580E-1,-5.115845799E-2,1.252236869E-2,-1.924168877E-2
1.704589000E-1,-5.115845799E-2,1.007897966E-2,-2.168507688E-2
1.728124410E-1,-5.115845799E-2,8.857285604E-3,-1.924168877E-2
1.751659830E-1,-4.993676394E-2,6.566607859E-3,-1.924168877E-2
1.775195250E-1,-5.115845799E-2,4.123218823E-3,-1.924168877E-2
1.798731180E-1,-5.131116882E-2,7.788302377E-3,-1.679829881E-2
1.822266600E-1,-5.131116882E-2,7.788302377E-3,-1.557660475E-2
1.845802020E-1,-5.131116882E-2,9.009997360E-3,-1.435491070E-2
1.869337430E-1,-5.131116882E-2,9.009997360E-3,-1.191152167E-2
1.892872850E-1,-5.253286287E-2,1.023169141E-2,-1.435491070E-2
1.916408270E-1,-5.131116882E-2,9.009997360E-3,-1.313321572E-2
1.939943680E-1,-5.253286287E-2,9.009997360E-3,-1.191152167E-2
1.963479100E-1,-5.131116882E-2,1.145338640E-2,-1.191152167E-2
1.987014520E-1,-5.253286287E-2,7.788302377E-3,-1.191152167E-2
2.010549930E-1,-5.253286287E-2,9.009997360E-3,-1.435491070E-2
2.034085350E-1,-5.253286287E-2,9.009997360E-3,-1.679829881E-2
2.057620770E-1,-5.238015205E-2,5.344913341E-3,-1.801999472E-2
2.081156180E-1,-5.115845799E-2,4.123218823E-3,-1.801999472E-2
2.104691600E-1,-4.993676394E-2,2.901524538E-3,-1.801999472E-2
2.128227540E-1,-5.360184610E-2,4.123218823E-3,-1.924168877E-2
2.151762430E-1,-5.238015205E-2,5.344913341E-3,-1.801999472E-2
2.175298370E-1,-5.115845799E-2,6.566607859E-3,-1.924168877E-2
2.198833790E-1,-5.360184610E-2,7.788302377E-3,-1.924168877E-2
2.222369210E-1,-5.619794875E-2,1.252236869E-2,-2.061609551E-2
2.245904620E-1,-5.619794875E-2,1.496575773E-2,-2.183778957E-2
