"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.578683790E-1,-1.569905281E-1,2.971649170E-2,4.222583771E-2
1.766967640E-1,-8.162164688E-2,-3.028774261E-2,3.494262695E-2
1.955250980E-1,-3.439545631E-2,-1.033172607E-1,5.563259125E-3
2.143534830E-1,5.801630020E-2,-1.405544281E-1,2.150869370E-2
2.331818160E-1,8.254551888E-2,-5.055522919E-2,4.917812347E-2
2.520102020E-1,-3.501820564E-2,5.798625946E-2,3.101921082E-2
2.708385350E-1,-1.698930264E-1,1.097583771E-1,2.221441269E-2
2.896669200E-1,-2.294087410E-2,-5.274677277E-2,-3.562211990E-2
3.084952540E-1,2.133302689E-1,-1.227264404E-1,-4.654741287E-2
3.273236390E-1,3.463714123E-1,-1.607704163E-1,1.037979126E-2
3.461520250E-1,4.618945122E-1,-1.857957840E-1,1.304430962E-1
3.649803580E-1,6.878662109E-1,-3.108968735E-1,9.443283081E-3
3.838086910E-1,5.543313026E-1,-1.937875748E-1,-1.153717041E-1
4.026370770E-1,5.360445976E-1,-1.186580658E-1,-2.407569885E-1
4.214654100E-1,8.245601654E-1,-4.388804436E-1,-4.510366917E-1
4.402937950E-1,1.215670705E0,-7.198100090E-1,-6.146309376E-1
4.591221290E-1,1.597048759E0,-9.372153282E-1,-5.432567596E-1
4.779505140E-1,2.321387291E0,-4.092855453E-1,-3.399679661E-1
4.967788480E-1,2.909589052E0,-3.577075005E-1,6.310081482E-2
5.156072330E-1,2.468864441E0,-1.404018402E-1,-2.004480362E-2
5.344224410E-1,1.518524647E0,-2.018818855E-1,-4.741277695E-1
5.532639520E-1,-4.467935562E-1,1.130290031E0,-1.263902426E0
5.720922850E-1,-1.368066788E0,1.118529320E0,-2.200288296E0
5.909206700E-1,-2.358843327E0,2.730388641E-1,-1.771213770E0
6.097490040E-1,-1.461720467E0,2.468032837E-1,-4.705893993E-1
6.285773890E-1,-6.723866463E-1,4.370641708E-1,3.919646740E-1
6.474057230E-1,-4.809055328E-1,3.229103088E-1,4.334678650E-1
6.662340560E-1,9.335088730E-2,3.415775299E-2,-1.917061806E-1
6.850624410E-1,1.181135893E0,-6.849098206E-2,-6.776711941E-1
7.038907750E-1,1.709046364E0,4.095268250E-2,-1.493284702E-1
7.227191600E-1,8.430082798E-1,6.369838715E-1,3.924674988E-1
7.415474930E-1,-6.325731277E-1,7.411155701E-1,1.074862480E-2
7.603758270E-1,-1.167224884E0,8.556957245E-1,-6.325061321E-1
7.792042120E-1,-7.047071457E-1,8.212051392E-1,-6.334702969E-1
7.980325450E-1,-4.414944649E-1,9.095754623E-1,3.187251091E-2
8.168609310E-1,-9.339084625E-1,9.339246750E-1,5.894720554E-1
8.356892640E-1,-1.606521130E0,5.592718124E-1,-5.596661568E-2
8.545176500E-1,-1.389282703E0,6.374073029E-2,-6.466737986E-1
8.733459830E-1,-9.065322876E-1,2.101049423E-1,-6.128679514E-1
8.921743160E-1,-3.543705940E-1,4.692401886E-1,-2.970459461E-1
9.110027020E-1,1.354205608E-1,4.308366776E-1,8.800554276E-2
9.298310350E-1,5.065665245E-1,2.975473404E-1,-2.544016838E-1
9.486594200E-1,7.148063183E-1,2.028837204E-1,-6.205160618E-1
