"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.577634130E-1,-6.010293961E-3,1.179313660E-2,-1.947760582E-2
1.765916420E-1,-9.715199471E-2,-1.751422882E-2,-8.570790291E-2
1.954199230E-1,-1.999616623E-2,-7.880592346E-2,-1.087048054E-1
2.142481530E-1,-2.355885506E-2,-4.019737244E-2,-5.166530609E-2
2.330763820E-1,-1.630821228E-1,1.165647507E-1,3.999590874E-2
2.519046110E-1,-2.245824337E-1,4.146194458E-2,4.840612411E-2
2.707328920E-1,-9.509134293E-2,-1.736640930E-2,-9.259939194E-3
2.895611210E-1,-9.018230438E-2,-8.316993713E-3,-3.323984146E-2
3.083893500E-1,-1.316430569E-1,5.884170532E-4,-7.858228683E-2
3.272176320E-1,3.926730156E-2,-6.302261353E-2,-3.849124908E-2
3.460458610E-1,2.166779041E-1,-4.026031494E-2,-9.484052658E-2
3.648740900E-1,3.308126926E-1,2.989387512E-2,-1.451399326E-1
3.837023710E-1,2.491700649E-1,2.013320923E-1,-1.471979618E-1
4.025306000E-1,2.044005394E-1,1.636276245E-1,-1.990163326E-1
4.213588300E-1,3.547549248E-1,1.279640198E-1,-2.227401733E-1
4.401870590E-1,5.824420452E-1,1.581106186E-1,-2.433919907E-1
4.590153400E-1,7.724833488E-1,1.935167313E-1,-1.751708984E-1
4.778435690E-1,1.071961641E0,2.238407135E-1,-2.117061615E-1
4.966717980E-1,1.467058420E0,2.214088440E-1,-3.178443909E-1
5.155000800E-1,1.972502828E0,2.400474548E-1,-3.652153015E-1
5.343283090E-1,2.373711586E0,3.970222473E-1,-3.297648430E-1
5.531565380E-1,2.781299114E0,8.085241318E-1,-1.529154778E-1
5.719847670E-1,3.011156082E0,8.885869980E-1,-2.035715580E-1
5.908130480E-1,2.783673525E0,1.229194641E0,-3.428306580E-1
6.096412780E-1,2.289364338E0,1.315812111E0,-7.431070805E-1
6.284695070E-1,1.892091274E0,9.498844147E-1,-1.103552818E0
6.472977880E-1,1.425701618E0,1.107753754E0,-1.045856953E0
6.661260170E-1,9.893975258E-1,1.232545853E0,-8.943908215E-1
6.849542460E-1,8.385708332E-1,1.064088821E0,-9.423916340E-1
7.037825280E-1,9.000651836E-1,8.818607330E-1,-9.519193172E-1
7.226107570E-1,8.538291454E-1,9.853191376E-1,-8.777112961E-1
7.414389860E-1,2.750141621E-1,1.364949226E0,-9.569053650E-1
7.602672150E-1,-2.968094349E-1,1.517256737E0,-1.305670500E0
7.790954960E-1,-2.302477360E-1,1.196382523E0,-1.525826812E0
7.979237250E-1,1.254599094E-1,9.109344482E-1,-1.548149824E0
8.167519550E-1,3.390538692E-1,9.520673752E-1,-1.500132322E0
8.355802360E-1,4.541654587E-1,1.095276833E0,-1.525215507E0
