"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.430032400E-2,-6.741052866E-1,2.588829994E-1,3.507504463E-1
4.312667800E-2,-7.590250969E-1,4.926376343E-1,2.124524117E-1
6.195303200E-2,-8.397110105E-1,6.322770119E-1,2.354478836E-2
8.077938700E-2,-8.831773996E-1,5.633783340E-1,-8.130025864E-2
9.960574100E-2,-5.565217733E-1,2.279396057E-1,-2.087497711E-2
1.184320950E-1,-4.156745672E-1,5.147266388E-2,2.583456039E-1
1.372584490E-1,-2.133206725E-1,-2.741260529E-1,4.363203049E-1
1.560848030E-1,-7.348740101E-2,-3.689737320E-1,5.734415054E-1
1.749111570E-1,-2.300630212E-1,-1.590681076E-1,5.255751610E-1
1.937375120E-1,-4.406970739E-1,-2.059316635E-2,3.561658859E-1
2.125638660E-1,-5.805104375E-1,2.887105942E-2,1.167325974E-1
2.313902200E-1,-4.855048060E-1,2.772951126E-2,-1.900620461E-1
2.502165740E-1,-2.282203436E-1,5.285263062E-2,-3.165502548E-1
2.690429280E-1,7.199600339E-2,1.962661743E-2,-3.623538017E-1
2.878692820E-1,4.013155103E-1,1.741986275E-1,-1.678647995E-1
3.066956370E-1,1.925237924E-1,-2.447328568E-1,-2.798104286E-1
3.255219910E-1,4.546215534E-1,-6.459388733E-1,-3.698487282E-1
3.443483450E-1,9.111220837E-1,-8.599333763E-1,-5.483446121E-1
3.631746990E-1,1.703646421E0,-5.559401512E-1,-1.122880936E0
3.819878760E-1,2.845489979E0,-5.333523750E-1,-1.728250980E0
4.011301160E-1,4.409843445E0,-1.301655769E-1,-1.806416512E0
4.203461050E-1,5.628815174E0,9.082460403E-2,-1.083708286E0
4.395487100E-1,5.846504211E0,3.558683395E-2,-3.244385719E-1
4.587513140E-1,4.986645699E0,1.849293709E-1,8.539247513E-2
4.779539180E-1,3.482682228E0,5.014724731E-1,5.001478195E-1
4.971565220E-1,1.753099680E0,8.618488312E-1,1.489943504E0
5.161256890E-1,1.995667815E-1,1.135962963E0,2.370570183E0
5.349651680E-1,-3.934799433E-1,8.207416534E-1,2.438609600E0
5.537915220E-1,-6.614871025E-1,9.276547432E-1,1.115110397E0
