"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.567798760E-1,3.079786301E-1,1.612768173E-1,3.696165085E-1
1.755994600E-1,-9.426822662E-1,1.871776581E-2,-1.783719063E-1
1.947007100E-1,-2.168643475E0,-1.153106689E-1,-8.784489632E-1
2.139032620E-1,-2.042054176E0,-3.599863052E-1,-9.809796810E-1
2.331058140E-1,-1.557266951E0,-4.344077110E-1,-8.152318001E-1
2.523083140E-1,-1.099925280E0,-1.534309387E-1,-6.331896782E-1
2.715108660E-1,-4.200615883E-1,2.488517761E-2,-6.915154457E-1
2.907134180E-1,4.358167648E-1,1.477651596E-1,-9.337472916E-1
3.097435220E-1,1.361933589E0,2.026348114E-1,-1.083971977E0
3.285698240E-1,2.455814600E0,8.530426025E-2,-1.173818827E0
3.473961260E-1,3.455960035E0,-8.151245117E-2,-1.294808149E0
3.662223760E-1,4.008173943E0,-8.551311493E-2,-1.580812931E0
3.850486780E-1,4.046386242E0,1.541242599E-1,-1.823596239E0
4.038749800E-1,3.700539351E0,5.168352127E-1,-2.032292128E0
4.227012820E-1,3.165830612E0,8.420381546E-1,-2.033970118E0
4.415275850E-1,2.675046444E0,9.550218582E-1,-1.873296499E0
4.603538870E-1,2.110034466E0,1.207555771E0,-1.511501789E0
4.791801370E-1,1.092392325E0,1.928400993E0,-1.180598497E0
4.980064390E-1,-1.647119522E-1,1.884737015E0,-1.468073368E0
5.168327410E-1,-9.555058479E-1,8.737869263E-1,-1.938033342E0
5.356590430E-1,-1.026411533E0,1.084423065E-2,-2.048444748E0
5.544853450E-1,-6.229801178E-1,-2.005300522E-1,-1.529478073E0
5.733116470E-1,-5.086817741E-1,1.980028152E-1,-1.280490637E0
5.921379490E-1,-1.301722288E0,8.700246811E-1,-1.476594687E0
6.109641990E-1,-2.342104197E0,5.452804565E-1,-1.907379866E0
6.297905010E-1,-2.318196774E0,-4.520854950E-1,-1.676373959E0
6.486168030E-1,-1.778517246E0,-1.928768158E-1,-1.366261959E0
6.674431050E-1,-1.614932299E0,4.947185516E-1,-1.207292557E0
6.862694070E-1,-1.999587774E0,7.539405823E-1,-1.015902758E0
7.050957100E-1,-2.807905197E0,9.352931976E-1,-1.190914631E0
7.239220120E-1,-3.361722946E0,4.829549789E-1,-1.482811451E0
7.427483140E-1,-3.622737646E0,-1.441431046E-1,-1.862051249E0
7.615746160E-1,-3.569829941E0,-5.925707817E-1,-1.863510847E0
7.804009180E-1,-3.140416384E0,-5.023612976E-1,-1.512550116E0
7.992271680E-1,-2.762008429E0,7.326316833E-2,-1.272842407E0
8.180534700E-1,-2.505363941E0,1.783504486E-1,-1.311126947E0
8.368797720E-1,-2.139494419E0,-9.939861298E-2,-1.200269461E0
8.557060740E-1,-1.676405191E0,7.748508453E-2,-1.217651606E0
8.745323760E-1,-1.218580008E0,8.962821960E-2,-1.269803286E0
8.933586780E-1,-8.240439892E-1,2.549047470E-1,-1.071467400E0
9.121849800E-1,-3.263902664E-1,1.117846489E0,-1.877707243E0
9.310112820E-1,5.627839565E-1,9.537620544E-1,-3.827274561E0
9.498375850E-1,1.451786637E0,1.533528328E0,-2.609697580E0
9.686507620E-1,2.513408899E0,2.085467339E0,8.855895996E-1
9.874901890E-1,2.409070015E0,1.514051437E0,2.665972710E0
1.006316439E0,1.685210228E0,1.549940109E-1,1.666052580E0
1.025142741E0,8.229620457E-1,-6.629037857E-1,6.519219875E-1
1.043969043E0,-2.975075245E-1,-1.331834793E-1,-9.755048752E-1
1.062795345E0,-9.631283283E-1,-1.368017197E-1,-1.660423875E0
1.081621647E0,-9.754414558E-1,-4.062271118E-2,-8.275134563E-1
1.100447949E0,-1.691079140E-1,3.054428101E-1,-2.183716297E-1
1.119274251E0,7.470357418E-1,2.401103973E-1,-5.238797665E-1
1.138100553E0,5.058128834E-1,1.517295837E-1,-7.195115089E-1
1.156926855E0,-6.273229122E-1,-6.651115417E-2,-9.562337399E-1
1.175753157E0,-1.292798042E0,-1.561460495E-1,-5.150101185E-1
1.194579460E0,-5.717117786E-1,3.342704773E-1,6.819667816E-1
1.213405762E0,4.272089005E-1,8.795452118E-2,3.745455742E-1
1.232232064E0,-8.520791531E-1,7.451534271E-2,-1.045628786E0
1.251058366E0,-2.000470161E0,1.801805496E-1,-1.500620127E0
1.269884668E0,-9.187405109E-1,7.161693573E-1,-8.102948666E-1
1.288710970E0,4.739277363E-1,8.018274307E-1,1.524472237E-1
1.307537272E0,8.057348728E-1,2.461967468E-1,3.619337082E-2
1.326363574E0,9.099221230E-1,4.911355972E-1,-1.849687099E0
1.345189876E0,3.665227890E-1,9.160633087E-1,-1.572061539E0
1.364003105E0,3.638720512E-1,1.177619934E0,1.514121532E0
1.382842480E0,1.238480806E0,4.419803619E-1,1.679956913E0
1.401668782E0,2.028753757E-1,5.867166519E-1,1.498688459E0
1.420495085E0,-1.194399357E0,7.205190659E-1,7.510473728E-1
1.439321387E0,-1.745794535E0,5.674076080E-1,8.596706390E-2
1.458147741E0,-1.357474089E0,8.333415985E-1,6.069889069E-1
1.476974043E0,-7.947385311E-1,6.751661301E-1,8.108236790E-1
1.495800345E0,-3.777561188E-1,4.223241806E-1,3.576071262E-1
1.514626647E0,-2.589654922E-1,5.052022934E-1,-6.343119144E-1
1.533452949E0,-3.281617165E-1,5.849637985E-1,-3.842763901E-1
1.552279251E0,3.694508076E-1,9.946727753E-1,5.789425373E-1
1.571105553E0,1.012203693E0,1.514805794E0,4.226212502E-1
1.589931855E0,2.580826283E-1,1.234728813E0,-7.827262878E-1
1.608758157E0,-1.360943317E0,5.567579269E-1,-2.185003757E0
1.627584460E0,-2.418710709E0,-3.743457794E-2,-3.573794127E0
1.646410762E0,-2.695849895E0,-3.144598007E-1,-4.919601917E0
1.665237064E0,-2.005744219E0,-9.054560661E-1,-5.622399807E0
1.684063366E0,-8.231701851E-1,-5.909514427E-1,-6.491794586E0
1.702876543E0,4.370260239E-1,-8.946485519E-1,-6.919605255E0
1.721715970E0,1.766872883E0,-1.383267403E0,-4.883193016E0
1.740542272E0,2.009522915E0,7.853126526E-2,-3.647878647E0
1.759355449E0,1.491539001E0,3.283576965E-1,-2.220411062E0
1.778194876E0,1.363219976E0,5.224361420E-1,-8.387589455E-1
1.797021178E0,1.466316938E0,2.736959457E-1,-2.579531670E-1
1.815847480E0,9.263011217E-1,-2.335462570E-1,1.218841076E-1
1.834673782E0,4.067578316E-1,-5.177659988E-1,-3.369252682E-1
1.853500085E0,-7.835550308E-1,-5.218505859E-3,-1.008574009E0
1.872313314E0,-2.375526667E0,-2.884101868E-2,-2.017198086E0
1.891152741E0,-3.283497095E0,1.926765442E-1,-1.905983329E0
