"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.745757300E-2,-3.378067255E0,7.700103283E0,5.175076962E0
1.981080200E-2,-3.369692564E0,7.695915699E0,5.213960648E0
2.216403100E-2,-3.355335474E0,7.681559086E0,5.213960648E0
2.451726000E-2,-3.331407309E0,7.667799950E0,5.238486767E0
2.687048900E-2,-3.318246841E0,7.682157040E0,5.281557560E0
2.922371900E-2,-3.303889751E0,7.711469173E0,5.267200947E0
3.157694800E-2,-3.314657450E0,7.749754429E0,5.315057278E0
3.393017700E-2,-3.287140131E0,7.835896015E0,5.304887772E0
3.628345800E-2,-3.297309637E0,7.874181271E0,5.333601475E0
3.863668700E-2,-3.265006542E0,7.889136314E0,5.357530117E0
4.098991600E-2,-3.227319479E0,7.917850018E0,5.382056236E0
4.334314600E-2,-3.180061340E0,7.880163193E0,5.397609711E0
4.569637500E-2,-3.132802963E0,7.890332699E0,5.388636589E0
4.804960400E-2,-3.108276606E0,7.867002487E0,5.384449005E0
5.040283300E-2,-3.104089260E0,7.843074322E0,5.417948723E0
5.275606200E-2,-3.061018467E0,7.833503246E0,5.389832973E0
5.510929100E-2,-3.013161898E0,7.819744587E0,5.386243820E0
5.746252100E-2,-3.004188776E0,7.814958572E0,5.395814896E0
5.981580200E-2,-3.013161898E0,7.786244869E0,5.391029358E0
6.216903100E-2,-3.002992392E0,7.752745152E0,5.382056236E0
6.452226000E-2,-3.026322365E0,7.747959614E0,5.357530117E0
6.687548900E-2,-3.022135019E0,7.762316704E0,5.395814896E0
6.922871900E-2,-3.013161898E0,7.767700672E0,5.414957523E0
7.158194800E-2,-3.037090063E0,7.767102242E0,5.414957523E0
7.393517700E-2,-3.050250769E0,7.757531166E0,5.380859852E0
7.628840600E-2,-3.069393158E0,7.737790108E0,5.390431404E0
7.864163500E-2,-3.073580742E0,7.694719315E0,5.386243820E0
8.099491600E-2,-3.092125177E0,7.699504852E0,5.361717224E0
8.334814600E-2,-3.092125177E0,7.718647480E0,5.356931686E0
8.570137500E-2,-3.087339401E0,7.713861942E0,5.347360611E0
8.805460400E-2,-3.087339401E0,7.709076405E0,5.342574596E0
9.040783300E-2,-3.063411236E0,7.737790108E0,5.318646431E0
9.276106200E-2,-3.063411236E0,7.718647480E0,5.328217983E0
9.511429100E-2,-3.044268608E0,7.685148239E0,5.338387489E0
9.746752100E-2,-3.072982550E0,7.694719315E0,5.352744102E0
