"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.457434400E-2,-1.038440317E-2,8.215895295E-2,1.572931744E-2
1.692757300E-2,5.589252338E-2,-7.314895838E-2,5.024218559E-2
1.928080200E-2,6.230641901E-2,-9.712471068E-2,4.550812021E-2
2.163403100E-2,6.383354217E-2,-1.175880954E-1,4.321744293E-2
2.398726000E-2,6.520794332E-2,-1.356080920E-1,3.970507160E-2
2.634048900E-2,6.658235192E-2,-1.548497826E-1,3.970507160E-2
2.869371900E-2,6.413896382E-2,-1.667613089E-1,3.970507160E-2
3.104694800E-2,6.306997687E-2,-1.835595965E-1,3.619270027E-2
3.340017700E-2,6.200099736E-2,-1.931804419E-1,3.497100621E-2
3.575345800E-2,5.833591148E-2,-2.040229887E-1,3.497100621E-2
3.810668700E-2,5.467082933E-2,-2.136438340E-1,3.237490356E-2
4.045991600E-2,5.115845799E-2,-2.185306102E-1,2.870982140E-2
4.281314600E-2,4.504998401E-2,-2.221956849E-1,2.504473738E-2
4.516637500E-2,4.001049697E-2,-2.244863659E-1,2.367033064E-2
4.751960400E-2,3.145863488E-2,-2.270824611E-1,1.985253580E-2
4.987283300E-2,2.535016090E-2,-2.270824611E-1,1.618745178E-2
5.222606200E-2,1.786728203E-2,-2.234173864E-1,1.725643501E-2
5.457929100E-2,1.038440317E-2,-2.223484069E-1,1.832541823E-2
5.693252100E-2,4.123218823E-3,-2.199050188E-1,1.832541823E-2
5.928580200E-2,-1.985253533E-3,-2.176143378E-1,1.817270555E-2
6.163903100E-2,-4.581354558E-3,-2.139492482E-1,1.939439960E-2
6.399226000E-2,-1.084253844E-2,-2.139492482E-1,2.046338283E-2
6.634548900E-2,-1.588202827E-2,-2.116585821E-1,2.290677279E-2
6.869871900E-2,-1.954711229E-2,-2.055501044E-1,2.397575416E-2
7.105194800E-2,-2.336490713E-2,-2.008160353E-1,2.397575416E-2
7.340517700E-2,-2.962609194E-2,-1.983726472E-1,2.748812735E-2
7.575840600E-2,-3.206948191E-2,-1.948602796E-1,2.626643144E-2
7.811163500E-2,-3.344388679E-2,-1.924168915E-1,2.626643144E-2
8.046491600E-2,-3.710897267E-2,-1.901262105E-1,2.855710872E-2
8.281814600E-2,-3.833066672E-2,-1.876828223E-1,2.611372061E-2
8.517137500E-2,-4.092676565E-2,-1.805053651E-1,2.855710872E-2
8.752460400E-2,-4.474456236E-2,-1.780619770E-1,2.962609194E-2
8.987783300E-2,-4.718795046E-2,-1.733279079E-1,2.962609194E-2
9.223106200E-2,-4.978405312E-2,-1.685938388E-1,2.947338112E-2
9.458429100E-2,-5.100574717E-2,-1.612636745E-1,2.947338112E-2
9.693752100E-2,-5.482354015E-2,-1.565296054E-1,2.947338112E-2
9.929075000E-2,-5.848862603E-2,-1.493521482E-1,3.054236248E-2
1.016439790E-1,-6.108472496E-2,-1.397313178E-1,2.932066843E-2
1.039972600E-1,-6.490252167E-2,-1.302631795E-1,3.038965166E-2
1.063504890E-1,-6.749862432E-2,-1.229330078E-1,3.161134571E-2
1.087037190E-1,-7.009471953E-2,-1.145338640E-1,3.390202299E-2
1.110569480E-1,-7.635590434E-2,-1.062874198E-1,3.497100621E-2
1.134101770E-1,-8.261708915E-2,-9.788827598E-2,3.497100621E-2
1.157634060E-1,-8.383878320E-2,-9.193251282E-2,3.359659761E-2
1.181166350E-1,-8.765657991E-2,-8.475505561E-2,3.481829539E-2
1.204698640E-1,-9.009996802E-2,-7.864658535E-2,3.344388679E-2
1.228230940E-1,-9.376505762E-2,-7.391251624E-2,3.100049868E-2
1.251763230E-1,-9.636115283E-2,-6.551336497E-2,3.100049868E-2
1.275295520E-1,-1.014006436E-1,-6.200099736E-2,3.084778599E-2
1.298828330E-1,-1.062874198E-1,-5.604523420E-2,2.947338112E-2
1.322360620E-1,-1.076618284E-1,-5.008947477E-2,2.825168520E-2
1.345892910E-1,-1.101052165E-1,-4.764608666E-2,2.580829710E-2
1.369425210E-1,-1.137702987E-1,-4.291202128E-2,2.565558441E-2
1.392957500E-1,-1.175880954E-1,-4.291202128E-2,2.565558441E-2
1.416489790E-1,-1.250709742E-1,-3.924693540E-2,2.794626169E-2
1.440022080E-1,-1.287360638E-1,-4.169032723E-2,2.550287358E-2
1.463554370E-1,-1.299577504E-1,-3.939964995E-2,2.672456764E-2
1.487086660E-1,-1.349972486E-1,-4.062134400E-2,2.779355086E-2
1.510619480E-1,-1.362189353E-1,-4.062134400E-2,2.901524492E-2
1.534151770E-1,-1.374406368E-1,-4.062134400E-2,2.779355086E-2
1.557684060E-1,-1.411057115E-1,-4.062134400E-2,2.657185495E-2
1.581216350E-1,-1.423274130E-1,-4.184303805E-2,2.535016090E-2
1.604748640E-1,-1.435490996E-1,-4.428642616E-2,2.397575416E-2
1.628280940E-1,-1.459924877E-1,-4.306473210E-2,2.519745007E-2
1.651813230E-1,-1.472141892E-1,-4.306473210E-2,2.397575416E-2
1.675345520E-1,-1.447708011E-1,-4.535540938E-2,2.397575416E-2
1.698877810E-1,-1.435490996E-1,-4.779879749E-2,2.535016090E-2
1.722410620E-1,-1.433963925E-1,-4.902049154E-2,2.046338283E-2
1.745942910E-1,-1.397313178E-1,-5.024218559E-2,1.924168877E-2
1.769475210E-1,-1.372879148E-1,-5.024218559E-2,1.924168877E-2
1.793007500E-1,-1.322484314E-1,-5.146388337E-2,1.572931744E-2
1.816539790E-1,-1.270562261E-1,-5.375456065E-2,1.084253844E-2
1.840072080E-1,-1.233911440E-1,-5.497625470E-2,7.177455351E-3
1.863604370E-1,-1.171299592E-1,-5.864133686E-2,4.886778072E-3
1.887136660E-1,-1.096470803E-1,-5.864133686E-2,2.596100792E-3
1.910668960E-1,-1.058292910E-1,-6.215370819E-2,1.527118147E-4
1.934201770E-1,-9.834641218E-2,-6.810946763E-2,-9.162708884E-4
1.957734060E-1,-9.452861547E-2,-7.177454978E-2,-2.137965523E-3
1.981266350E-1,-8.964183182E-2,-7.177454978E-2,-1.985253533E-3
2.004798640E-1,-8.460234851E-2,-7.528692484E-2,-7.635590737E-4
2.028330940E-1,-8.078455180E-2,-7.895200700E-2,-1.832541777E-3
2.051863230E-1,-7.589777559E-2,-8.368607610E-2,-1.832541777E-3
2.075395520E-1,-7.330167294E-2,-8.964183182E-2,-4.581354442E-4
2.098927810E-1,-6.841489673E-2,-8.842013776E-2,-2.901524538E-3
2.122460100E-1,-6.459710002E-2,-9.437590092E-2,-2.748812549E-3
2.145992390E-1,-6.215370819E-2,-9.804098308E-2,-1.527118147E-3
2.169525210E-1,-5.711421743E-2,-9.926267713E-2,-1.374406274E-3
2.193057500E-1,-5.711421743E-2,-1.003316641E-1,-2.596100792E-3
2.216589790E-1,-5.467082933E-2,-1.003316641E-1,-2.596100792E-3
2.240122080E-1,-4.963133857E-2,-9.910997003E-2,-2.596100792E-3
2.263654370E-1,-4.718795046E-2,-9.559759498E-2,-1.374406274E-3
2.287186660E-1,-4.230117425E-2,-9.437590092E-2,0.000000000E0
2.310718960E-1,-3.985778242E-2,-9.437590092E-2,-2.443389036E-3
2.334251250E-1,-3.863608837E-2,-9.071081877E-2,-2.443389036E-3
2.357783540E-1,-3.741439432E-2,-8.948912472E-2,-3.665083554E-3
2.381316350E-1,-3.481829539E-2,-8.719844371E-2,-6.108472589E-3
2.404848640E-1,-3.359659761E-2,-8.475505561E-2,-8.551862091E-3
2.428380940E-1,-3.237490356E-2,-8.002099395E-2,-8.551862091E-3
2.451913230E-1,-2.870982140E-2,-7.757759839E-2,-9.620844387E-3
2.475445520E-1,-2.993151546E-2,-7.513421029E-2,-9.773556143E-3
2.498977810E-1,-2.626643144E-2,-7.391251624E-2,-9.620844387E-3
2.522510100E-1,-2.367033064E-2,-7.040014863E-2,-9.620844387E-3
2.546042390E-1,-2.000524849E-2,-7.391251624E-2,-1.084253844E-2
2.569574690E-1,-1.878355257E-2,-7.635590434E-2,-8.399149403E-3
2.593106980E-1,-1.634016447E-2,-7.513421029E-2,-8.246437646E-3
2.616639790E-1,-1.252236869E-2,-7.513421029E-2,-7.024743594E-3
2.640172080E-1,-8.857285604E-3,-7.864658535E-2,-4.581354558E-3
2.663704370E-1,-6.413896102E-3,-7.864658535E-2,-3.206948051E-3
2.687236660E-1,-3.970507067E-3,-8.093725890E-2,-1.985253533E-3
2.710768960E-1,-2.748812549E-3,-8.093725890E-2,-3.206948051E-3
2.734301250E-1,-1.527118147E-4,-8.215895295E-2,-1.985253533E-3
2.757833540E-1,3.512371797E-3,-8.460234851E-2,-6.108472589E-4
2.781365830E-1,7.177455351E-3,-8.338065445E-2,1.832541777E-3
2.804898120E-1,1.084253844E-2,-8.093725890E-2,4.428642802E-3
2.828430410E-1,1.450762246E-2,-7.971556485E-2,4.428642802E-3
2.851963230E-1,1.832541823E-2,-7.849387079E-2,4.428642802E-3
2.875495520E-1,2.076880634E-2,-8.078455180E-2,3.206948051E-3
2.899027810E-1,2.443389036E-2,-8.322793990E-2,4.581354558E-3
2.922560100E-1,2.825168520E-2,-8.551861346E-2,7.024743594E-3
2.946092390E-1,3.191677108E-2,-8.674030751E-2,7.177455351E-3
2.969624690E-1,3.436015919E-2,-8.674030751E-2,5.955760833E-3
2.993156980E-1,3.573456407E-2,-9.040539712E-2,4.734066315E-3
3.016689270E-1,3.817795217E-2,-9.269607067E-2,5.955760833E-3
3.040221560E-1,3.817795217E-2,-9.513945878E-2,7.330167107E-3
3.063754370E-1,4.199574888E-2,-9.880454093E-2,6.108472589E-3
3.087286660E-1,4.199574888E-2,-9.987352788E-2,4.886778072E-3
3.110818960E-1,4.566083103E-2,-1.010952219E-1,6.108472589E-3
3.134351250E-1,4.688252881E-2,-1.035386100E-1,6.261184346E-3
3.157883540E-1,4.947862774E-2,-1.047603041E-1,5.039489828E-3
3.181415830E-1,5.192201585E-2,-1.059819981E-1,3.817795310E-3
3.204948120E-1,5.451811850E-2,-1.082726792E-1,2.596100792E-3
3.228480410E-1,5.818320066E-2,-1.070509851E-1,3.970507067E-3
3.252012710E-1,6.062658876E-2,-1.070509851E-1,1.527118147E-3
3.275545000E-1,6.444438547E-2,-1.070509851E-1,-9.162708884E-4
3.299077810E-1,7.070557028E-2,-1.035386100E-1,-3.206948051E-3
3.322610100E-1,7.437065244E-2,-1.023169160E-1,-4.428642802E-3
3.346142390E-1,8.307522535E-2,-9.987352788E-2,-5.497625098E-3
3.369674690E-1,8.811471611E-2,-1.010952219E-1,-6.719320081E-3
3.393206980E-1,9.177979827E-2,-9.865183383E-2,-7.941014133E-3
3.416739270E-1,9.788827598E-2,-9.254335612E-2,-6.566607859E-3
3.440271560E-1,1.015533581E-1,-8.780929446E-2,-7.788302377E-3
3.463803850E-1,1.064401343E-1,-8.170082420E-2,-5.344913341E-3
3.487336140E-1,1.088835225E-1,-7.207997888E-2,-1.679830020E-3
3.510868960E-1,1.101052165E-1,-6.612421572E-2,-1.679830020E-3
3.534401250E-1,1.136175916E-1,-5.650337040E-2,-4.581354442E-4
3.557933540E-1,1.160609797E-1,-5.176930502E-2,-3.054236295E-4
3.581465830E-1,1.197260618E-1,-4.321744293E-2,-3.054236295E-4
3.604998120E-1,1.233911440E-1,-4.199574888E-2,2.137965523E-3
3.628530410E-1,1.258345395E-1,-3.848337755E-2,5.803049076E-3
3.652062710E-1,1.294996142E-1,-3.726168349E-2,4.734066315E-3
3.675595000E-1,1.333174109E-1,-3.359659761E-2,3.512371797E-3
3.699127290E-1,1.369825006E-1,-3.115320951E-2,4.734066315E-3
3.722660100E-1,1.382041872E-1,-2.870982140E-2,7.177455351E-3
3.746192390E-1,1.418692768E-1,-2.993151546E-2,1.221694518E-2
3.769724690E-1,1.441599578E-1,-2.993151546E-2,1.710372418E-2
3.793256980E-1,1.440072358E-1,-2.626643144E-2,2.443389036E-2
3.816789270E-1,1.438545287E-1,-2.382304333E-2,3.176405653E-2
3.840321560E-1,1.426328421E-1,-2.015795931E-2,3.665083647E-2
3.863853850E-1,1.424801201E-1,-1.649287529E-2,3.909422457E-2
