"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.572978850E-1,-1.299324036E-1,-1.364493370E-1,-3.082704544E-2
1.761237710E-1,-1.391687393E-1,-2.422280312E-1,-1.509017944E-1
1.949496560E-1,-1.766846180E-1,-2.784571648E-1,-2.169551849E-1
2.137755410E-1,-1.749613285E-1,-1.741008759E-1,-2.011666298E-1
2.326014270E-1,-4.063057899E-2,-1.250100136E-1,-1.500253677E-1
2.514272600E-1,7.653427124E-2,-8.697462082E-2,-1.917552948E-1
2.702531460E-1,2.214074135E-2,-9.613990784E-3,-2.586722374E-1
2.890790310E-1,2.296853065E-2,-3.557872772E-2,-2.744112015E-1
3.079049160E-1,1.949503422E-1,-1.291513443E-1,-2.605810165E-1
3.267308020E-1,3.474981785E-1,-1.474361420E-1,-2.674679756E-1
3.455566870E-1,4.445183277E-1,-1.528501511E-2,-2.263846397E-1
3.643825730E-1,3.421955109E-1,7.920217514E-2,-1.902256012E-1
3.832084060E-1,2.923061848E-1,1.181435585E-1,-6.395149231E-2
4.020342910E-1,1.952688694E-1,4.191112518E-2,-6.317186356E-2
4.208601770E-1,6.623888016E-1,-1.759409904E-1,-1.552696228E-1
4.396726250E-1,1.678002596E0,9.938573837E-2,3.549246788E-1
4.588272080E-1,3.172013521E0,-2.698230743E-1,4.251608849E-1
4.780293430E-1,2.246816158E0,4.502344131E-1,-5.609488487E-1
4.972314270E-1,1.576174736E0,8.414845467E-1,-1.029021263E0
5.164335620E-1,2.004708767E0,6.655955315E-1,-9.728293419E-1
5.356356980E-1,2.322977781E0,7.465834618E-1,-9.037523270E-1
5.548378330E-1,2.109467030E0,8.899192810E-1,-6.202425957E-1
5.738204370E-1,2.047783852E0,9.063177109E-1,-1.571340561E-1
5.926463230E-1,1.862424135E0,7.442750931E-1,1.837344170E-1
6.114722080E-1,1.324573159E0,8.937234879E-1,1.429176331E-2
6.302980930E-1,8.837187290E-1,9.492683411E-1,-7.339143753E-2
6.491239270E-1,7.067480087E-1,1.037836075E0,-2.927074432E-1
6.679498120E-1,7.171833515E-1,1.090809822E0,-4.365401268E-1
6.867756980E-1,8.880506158E-1,1.024518013E0,-8.076450825E-1
7.056015830E-1,1.250546455E0,9.248113632E-1,-1.323867559E0
7.244274680E-1,1.795053244E0,7.916355133E-1,-1.680236101E0
7.432533540E-1,1.949379683E0,1.322135925E0,-1.696061134E0
7.620792390E-1,1.513906360E0,1.674498558E0,-1.751299620E0
7.809051250E-1,8.668393493E-1,1.278950691E0,-2.098140001E0
7.997310100E-1,1.002544165E-1,1.309617043E0,-2.265855312E0
8.185568430E-1,-7.029713392E-1,1.228104591E0,-2.699744225E0
8.373827290E-1,-1.521045446E0,9.745531082E-1,-3.160474777E0
8.562086140E-1,-2.540752172E0,8.720731735E-1,-3.504415989E0
8.750345000E-1,-3.388806820E0,9.441003799E-1,-3.475729465E0
8.938603850E-1,-3.379093409E0,3.536090851E-1,-2.987265825E0
9.126862710E-1,-2.676896334E0,1.201944351E-1,-2.007496834E0
9.315121560E-1,-1.505093694E0,-8.190155029E-3,-1.010874033E0
9.503380410E-1,-6.421325207E-1,3.383827209E-2,-3.271670341E-1
9.691639270E-1,-3.968993425E-1,6.783437729E-1,-8.824825287E-3
9.879898120E-1,-2.667621374E-1,1.220956802E0,-1.469945908E-2
1.006815646E0,-2.721413374E-1,1.202827454E0,1.662058830E-1
1.025641531E0,-2.087320089E-1,6.216955185E-1,1.129285812E0
1.044467416E0,1.123354435E-1,7.355718613E-1,1.675349236E0
1.063293302E0,2.759802341E-2,9.435653687E-1,7.055397034E-1
1.082119187E0,-1.045627832E0,9.573316574E-1,-5.036001205E-1
1.100945073E0,-2.729375839E0,7.082576752E-1,-1.077500105E0
1.119770958E0,-3.022950649E0,1.899433136E-1,-2.034921885E0
1.138596843E0,-2.849036455E0,-5.608386993E-1,-1.915426970E0
1.157422729E0,-2.761793137E0,-1.232866287E0,-1.330261707E0
1.176248614E0,-2.548628092E0,-1.500559807E0,-1.090703726E0
1.195074500E0,-2.590674877E0,-1.315568924E0,-1.041957617E0
1.213900385E0,-2.624664307E0,-1.547993183E0,-1.071371794E0
1.232726271E0,-2.643440723E0,-1.651298046E0,-5.711915493E-1
1.251552156E0,-2.223757029E0,-1.601511955E0,3.668832779E-2
