"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.560816190E-1,2.830362320E-2,8.157968521E-2,1.900496483E-1
1.749062020E-1,-1.836748123E-1,1.811027527E-2,7.200241089E-2
1.937307850E-1,-3.616151810E-1,-3.445434570E-2,-7.978916168E-2
2.125554210E-1,-3.730740547E-1,-8.497905731E-2,-1.401977539E-1
2.313800040E-1,-2.504582405E-1,-1.226410866E-1,-1.062002182E-1
2.502045870E-1,-1.509499550E-1,-9.653329849E-2,-4.217767715E-2
2.690292230E-1,-1.107816696E-1,-6.741285324E-2,-5.131196976E-2
2.878538060E-1,-6.733512878E-2,-2.620220184E-2,-9.981060028E-2
3.066783890E-1,-2.178287506E-2,3.666782379E-2,-1.357860565E-1
3.255029730E-1,-4.080772400E-3,8.859634399E-2,-1.550073624E-1
3.443276080E-1,-3.663349152E-2,1.034975052E-1,-1.114130020E-1
3.631521920E-1,-4.065084457E-2,7.649612427E-2,-8.828544617E-2
3.819767750E-1,-1.531124115E-2,4.112434387E-2,-5.987596512E-2
4.008014100E-1,-7.882404327E-2,3.250980377E-2,-3.771352768E-2
4.196259940E-1,-1.591563225E-1,-3.914833069E-3,-7.740831375E-2
4.384505770E-1,-1.976351738E-1,-2.162885666E-2,-8.767461777E-2
4.572752120E-1,-2.164349556E-1,-7.868766785E-3,-9.309673309E-2
4.760997960E-1,-2.055377960E-1,5.975246429E-2,-4.854297638E-2
4.949243790E-1,-1.197309494E-1,1.025600433E-1,-3.656101227E-2
5.137490140E-1,2.981185913E-2,1.582818031E-1,-1.051902771E-2
5.325735980E-1,5.536460876E-2,1.613430977E-1,-4.340076447E-2
5.513981810E-1,4.763221741E-2,1.781506538E-1,-7.155990601E-2
5.702228170E-1,7.618331909E-2,1.497921944E-1,-1.452651024E-1
5.890474000E-1,1.636142731E-1,1.950922012E-1,-1.061668396E-1
6.078719830E-1,3.030943871E-1,1.966619492E-1,7.021474838E-2
6.266966190E-1,2.520375252E-1,1.940569878E-1,1.128673553E-2
6.455212020E-1,1.515326500E-1,1.193928719E-1,1.472377777E-2
6.643457850E-1,1.334958076E-1,1.082038879E-2,-9.629058838E-2
6.831704210E-1,1.062850952E-1,-4.231071472E-2,-5.629873276E-2
7.019950040E-1,7.534980774E-2,1.036453247E-2,5.638885498E-2
7.208195870E-1,9.383106232E-2,1.213645935E-2,1.535267830E-1
7.396442230E-1,6.842660904E-2,-8.305549622E-3,1.836347580E-1
7.584688060E-1,-8.495950699E-2,3.763055801E-2,1.764421463E-1
7.772933890E-1,-1.677765846E-1,1.452932358E-1,8.973789215E-2
7.961180250E-1,-1.791548729E-1,2.070031166E-1,1.039671898E-1
8.149426080E-1,-7.008838654E-2,1.913719177E-1,8.904170990E-2
8.337672440E-1,1.433691978E-1,1.859865189E-1,5.413484573E-2
8.525918270E-1,3.685131073E-1,1.411738396E-1,-9.741973877E-2
8.714164100E-1,4.902944565E-1,2.224173546E-1,-4.555940628E-2
8.902410460E-1,4.393227100E-1,1.799292564E-1,-3.950500488E-2
9.090656290E-1,2.401547432E-1,1.949872971E-1,-8.234548569E-2
9.278902640E-1,1.195907593E-2,1.466164589E-1,-2.440404892E-2
9.467148480E-1,-8.335351944E-2,-4.207134247E-3,-3.523826599E-4
9.655394310E-1,-1.917490959E-1,-1.515302658E-1,-1.543822289E-1
9.843640670E-1,-4.049162865E-1,-2.625889778E-1,-2.339868546E-1
1.003188650E0,-5.433969498E-1,-2.450733185E-1,-2.090330124E-1
1.022013285E0,-5.643687248E-1,-2.455449104E-1,-2.199182510E-1
1.040837869E0,-6.306514740E-1,-2.782287598E-1,-4.729499817E-1
1.059662452E0,-6.165719032E-1,-3.116736412E-1,-6.557068825E-1
1.078487087E0,-3.558468819E-1,-3.886928558E-1,-8.160429001E-1
1.097311671E0,-2.663946152E-2,-3.956036568E-1,-8.135614395E-1
1.116136306E0,2.677965164E-1,-3.304834366E-1,-6.560645103E-1
1.134960889E0,3.938453197E-1,-1.865439415E-1,-6.140828133E-1
1.153785525E0,4.934434891E-1,-1.606197357E-1,-6.333379745E-1
1.172610108E0,4.515264034E-1,-4.581165314E-2,-5.328636169E-1
1.191434692E0,2.493391037E-1,1.612076759E-1,-5.222020149E-1
